root_id,cell_type,index_id,x,y,z
720575940633277977,others,108398,447498.0,110620.0,162520.0
720575940625641402,others,70132,418680.0,304224.0,170760.0
720575940627958466,KCab,82785,438932.0,158532.0,174800.0
720575940623959881,KCab,61566,424372.0,167704.0,174800.0
720575940624521022,KCab,64674,441324.0,158576.0,174800.0
720575940610886610,KCab,9718,424928.0,168808.0,174800.0
720575940616187649,KCab,25578,441036.0,161392.0,174800.0
720575940630311183,Unknown,94995,423516.0,133808.0,161700.0
720575940628413799,KCab,85429,426712.0,166368.0,174800.0
720575940620561713,Unknown,42721,434428.0,110688.0,170640.0
720575940612278114,others,13159,409636.0,126132.0,169800.0
720575940626712921,Unknown,75481,423528.0,160724.0,174800.0
720575940623781896,others,60611,414226.0,243682.0,174620.0
720575940631335491,others,100289,426784.0,311616.0,162520.0
720575940624168712,Unknown,62768,428812.0,173776.0,174800.0
720575940623451829,Unknown,58945,440237.3333333333,170526.66666666666,168706.66666666666
720575940619770228,Unknown,39087,435028.0,155596.0,174800.0
720575940629611794,KCab,91517,439788.0,158260.0,174800.0
720575940631701807,KCab,101945,441152.0,160936.0,174800.0
720575940649691769,KCab,132216,435060.0,159844.0,174800.0
720575940629183643,others,89465,411544.0,300020.0,167740.0
720575940634953055,Unknown,112781,422192.0,163372.0,174800.0
720575940614184204,KCab,18909,435676.0,158520.0,174800.0
720575940628672762,Unknown,86761,439446.6666666667,231022.66666666663,164280.0
720575940620494897,Unknown,42383,401328.0,125006.0,167480.0
720575940647560500,others,131571,419660.3636363637,321624.7272727273,173152.72727272726
720575940613646821,others,17496,404510.0,95226.0,163480.0
720575940621535809,Unknown,48190,402752.0,287008.0,170000.0
720575940619598964,others,38328,416724.0,252108.0,164600.0
720575940615846237,KCapbp-ap2,24361,432240.0,169304.0,174800.0
720575940612436264,KCab,13658,424436.0,166288.0,174800.0
720575940640486973,others,125301,431594.0,138834.0,167840.0
720575940618991227,others,36190,410526.0,117766.0,170580.0
720575940614013196,others,18462,442946.0,103526.0,173100.0
720575940622944196,others,56003,440580.0,333798.0,162260.0
720575940632287057,Unknown,104362,419116.0,110024.0,173940.0
720575940629694027,Unknown,91876,438744.0,154148.0,174800.0
720575940628719375,Unknown,86999,428196.0,198282.0,167340.0
720575940624357413,KCab,63875,440420.0,163556.0,174800.0
720575940625047815,others,67400,440672.0,331708.0,162780.0
720575940623165636,KCab,57337,435336.0,158180.0,174800.0
720575940634045084,Unknown,110677,434328.0,154740.0,174800.0
720575940630512471,Unknown,95950,423920.0,171000.0,174800.0
720575940615378700,others,22865,436770.0,167014.0,173360.0
720575940645385524,KCab,129924,427708.0,162964.0,174800.0
720575940617911104,KCapbp-ap1,31749,423092.0,164892.0,174800.0
720575940620472046,Unknown,42259,436728.0,171316.0,174800.0
720575940632575180,others,105665,400396.0,140872.0,165960.0
720575940632273378,Unknown,104310,437828.0,155088.0,174800.0
720575940623906633,Unknown,61280,426116.0,173152.0,174800.0
720575940622295832,Unknown,52531,435784.0,156056.0,174800.0
720575940604304561,KCapbp-ap1,566,423416.0,164532.0,174800.0
