root_id,cell_type
720575940621800586,NA
720575940614930107,Mi9
720575940613394686,Tm5Y
720575940625140477,CB3851
720575940630070394,ocellar_retinula_cell
720575940626545158,L2
720575940606161585,TmY20
720575940638561699,NA
720575940619115845,KCapbp-ap1
720575940613898449,NA
720575940629124092,TmY18
720575940621391636,KCab
720575940631293484,NA
720575940634388927,PS090b
720575940635587936,MeTu1
720575940614959254,T2
720575940639458000,Tm5Y
720575940621350565,Dm8
720575940630683383,NA
720575940632386131,NA
720575940628325319,T2
720575940622096589,NA
720575940630862799,Tm9
720575940637087087,TmY18
720575940611343218,NA
720575940616886228,NA
720575940624950259,NA
720575940623152086,TmY4
720575940629609167,NA
720575940644022551,DNpe003
720575940629874732,C2
720575940612922773,Mi15
720575940622577178,T2a
720575940633151457,Tlp4
720575940608760843,T4c
720575940622693597,Dm3
720575940633201828,LCe03
720575940628731497,NA
720575940628035543,NA
720575940625931266,NA
720575940618670370,Tm4
720575940627286530,Pm2
720575940628347654,CB2122
720575940630532183,T4b
720575940622447971,Dm10
720575940619544661,T5a
720575940632205327,R1-6
720575940617990454,NA
720575940629141292,BM_InOm
720575940639935104,Mi10
720575940631273676,Tm6
720575940616954297,Tm9
720575940618756429,TmY3
720575940629705577,T2a
720575940627148388,Mi15
720575940631064631,CB3836
720575940628571791,CB3849
720575940637988329,T5a
720575940624131988,NA
720575940617190801,Tm5a
720575940623580659,Tm9
720575940616144470,WED094c
720575940631520312,DNae017
720575940628600232,L5
720575940629600812,T4d
720575940620182182,C2
720575940627331560,NA
720575940644753608,R1-6
720575940613614250,R8
720575940619364724,MeTu2
720575940628445000,Tm6
720575940631231225,CB3824
720575940632243340,CB0989
720575940624270845,T5c
720575940624380455,R1-6
720575940617222331,Dm10
720575940623252884,CB2179
720575940653310198,DNbe004
720575940611670002,TmY14
720575940627267965,NA
720575940632689199,NA
720575940606685129,NA
720575940619768923,MeTu3
720575940621828272,T5d
720575940625556611,NA
720575940641613728,NA
720575940622092253,Tm20
720575940626393530,NA
720575940623260308,CB2149
720575940628471916,CB1098
720575940615635037,CB3313
720575940631603737,NA
720575940639374243,T3
720575940626220588,T4b
720575940619166667,Tm5Y
720575940627921937,T1
720575940616402873,T4d
720575940633408869,T4b
720575940635977114,NA
720575940625835597,NA
720575940613999510,TmY9
720575940623528428,NA
720575940623131817,Pm1
720575940616875826,Tm16
720575940606934473,T4d
720575940600150793,T5a
720575940632501034,Tm20
720575940649941881,Dm2
720575940622204585,BM_Taste
720575940629426475,L3
720575940624197045,Mi4
720575940633050524,CB3792
720575940622094986,CB2517
720575940631391995,R1-6
720575940605527910,NA
720575940629985132,CB2612
720575940627377660,CB3342
720575940622353299,TmY18
720575940625496720,Mi1
720575940619535563,KCapbp-ap2
720575940610903961,CB2070
720575940618270877,T4c
720575940638857168,T1
720575940624101158,Tm20
720575940632790611,Tm5c
720575940631896936,CB3124
720575940605960626,CB3192
720575940631208466,CB1735
720575940626377060,Tm3
720575940627675983,T2a
720575940605019057,NA
720575940635618793,BM_Fr
720575940637446622,NA
720575940629495631,LC10a
720575940627376958,L5
720575940625874920,NA
720575940630430070,NA
720575940631259863,TmY18
720575940611646926,CB3825
720575940626711941,T5a
720575940621062474,L3
720575940622172540,LHAD1f4a
720575940628468296,NA
720575940625241731,CB1053
720575940618311142,R1-6
720575940628342171,NA
720575940618228800,TmY16
720575940614281122,T4b
720575940628296872,R8
720575940616332998,Y1
720575940631997767,NA
720575940632985261,CB0307
720575940631294668,Y3
720575940627062424,CB1791
720575940633343457,T3
720575940625157875,T2a
720575940618810708,Tm5a
720575940627055749,L3
720575940630771564,T2a
720575940617102173,CB2524
720575940634340066,R1-6
