root_id,cell_type,x,y,z
720575940644753608,R1-6,811240,105.44,80.6
720575940613614250,R8,848432,437.22,80.6
720575940624380455,R1-6,834496,28.2,136.4
720575940618311142,R1-6,816396,215.08,39.8
720575940628296872,R8,823240,76.78,297.6
720575940634340066,R1-6,822768,52.64,89.2
720575940625141995,R7,822236,399.32,254
720575940612445107,R8,814684,217.22,274.8
720575940606095532,R7,850284,284.26,79.4
720575940640400547,R1-6,855352,361.36,112.8
720575940637504142,R1-6,840896,288.42,0.4
720575940619721782,R1-6,842824,96.9,148
720575940642224859,R1-6,850056,362.72,113
720575940631392220,R1-6,791936,496.28,62.2
720575940616715314,R1-6,850216,506.46,99.4
720575940613764323,R1-6,866572,462.04,310.8
720575940613987555,R1-6,877332,306.18,415.6
720575940635651263,R8,857852,298.15,228.6
720575940606723430,R7,807516,274.12,117.2
720575940624312772,R1-6,838016,20.63,194.1
720575940622537456,R1-6,873756,308.96,415
720575940613424554,R1-6,857492,1.92,467.2
720575940620522955,R1-6,813860,31.06,62.4
720575940640332605,R1-6,802644,126.76,80.6
720575940640439411,R1-6,866600,129.3,475
720575940640018741,R1-6,863256,28,489.8
720575940630704896,R1-6,855480,401.44,115.8
720575940640675699,R7,834050,142.95,473.2
720575940618657108,R1-6,876832,283.9,236.8
720575940638665306,R1-6,865788,426.56,333.4
720575940618231133,R1-6,813388,435.97,99.6
720575940616291551,R7,806112,395.78,252.2
720575940635786335,R1-6,829560,47.86,183.4
720575940616180546,R1-6,845496,507.74,350.6
720575940620439381,R1-6,871208,477.82,278.6
720575940606624177,R1-6,833964,106.8,80.4
720575940618681501,R1-6,848504,62.04,80.4
720575940638798052,R7,795996,482.48,192.8
720575940623572445,R8,811508,504.58,233.4
720575940606519910,R1-6,885360,263.04,390.6
720575940627775668,R1-6,858516,288.6,253.4
720575940630857728,R1-6,809472,412.84,15.6
720575940626694949,R8,823220,288.12,252
720575940625097992,R1-6,810448,436.56,72.6
720575940630450302,R1-6,840636,192.04,155
720575940612596954,R1-6,847980,5.12,233.8
720575940632606568,R1-6,840449.3333333334,124.81333333333329,97.46666666666664
720575940619297600,R1-6,885092,235.76,369.6
720575940632007186,R7,833008,150.84,297.6
720575940610753348,R1-6,812420,315.18,95.6
720575940624755453,R1-6,866048,325.66,297.6
720575940626586149,R1-6,875236,477.6,350.6
720575940635717786,R8,844708,267.38,412.8
720575940606412771,R8,825876,119,297.6
720575940619775355,R8,847636,311.72,187
720575940624641205,R8,814516,503.49,237.5
720575940636527727,R1-6,859768,294.25,296.1
720575940636916599,R1-6,872076,166.14,368.4
720575940615143121,R1-6,839916,221.12,61.8
720575940619337024,R1-6,850048,344.36,23
720575940611720883,R1-6,835228,253.74,53.2
720575940624721149,R1-6,873968,349.12,381
720575940624977481,R8,825888,329.18,271.6
720575940623731981,R1-6,819252,143.52,73.2
720575940626001741,R1-6,855272,462.14,350.6
720575940648236676,R1-6,826938,96.53,102.6
720575940632737327,R8,800968,500.35,216.9
720575940616331487,R8,760904,252.82,193.6
720575940612598165,R7,850840,390.58,80.6
720575940625538964,R1-6,828016,305.6,113.6
720575940625766158,R1-6,798240,490.4,18.4
720575940633475667,R1-6,848544,242.46,14.2
720575940621344427,R1-6,821232,175.8,25.8
720575940614766131,R1-6,814488,102.8,120.8
720575940625670414,R1-6,807648,38.18,98.6
720575940632709945,R7,795976,395.62,167.4
720575940623994762,R1-6,866192,400.72,353
720575940628367889,R1-6,827716,387.62,46.2
720575940610765892,R1-6,849200,226.94,25.4
