root_id,cell_type,side,x,y,z
720575940636878720,R1-6,left,446926,284456,155820
720575940629832192,R8,left,395061,234916,131380
720575940626892544,R7,left,257728,355488,188880
720575940632205312,R1-6,right,817438.4,222489.6,155576
720575940626836352,R1-6,left,471426,321552,191800
720575940613718784,R1-6,left,341365.3333333333,343340,155200
720575940636203392,R1-6,right,876692,307000,142520
720575940644753664,R1-6,right,811240,246088,91120
720575940613614208,R8,right,848432,312444,91120
720575940631461760,R7,left,413231.4285714286,360613.14285714284,161508.57142857142
720575940624380416,R1-6,right,375732.8,300125.6,179608
720575940612986624,R1-6,left,207141.33333333334,204556,160520
720575940630576512,R1-6,left,206384,331280,127400
720575940626845952,R1-6,left,142148,414944,149440
720575940632262144,R1-6,left,223796,246908,131960
720575940631392000,R1-6,right,827878,392980,92100
720575940621641344,R1-6,left,253066.66666666666,246329.33333333334,168960
720575940630703616,R8,left,597584,362630.6666666667,194920
720575940612024704,R1-6,right,866048,249572,162520
720575940618311168,R1-6,right,816396,268016,82960
720575940629894400,R7,left,500926.6666666667,219616,185400
720575940628296832,R8,right,616702,180206,143080
720575940637482368,R1-6,right,857396,320176,116760
720575940634340096,R1-6,right,822768,235528,92840
720575940625142016,R7,right,822236,304864,125800
720575940616992256,R1-6,left,235228,210400,147320
720575940624651136,R1-6,right,537421.6,312708.8,169224
720575940615418496,R1-6,left,163764,419176,130080
720575940615052928,R8,right,785212,368216,130320
720575940631959808,R1-6,left,449282,258538,184300
720575940616368256,R1-6,left,317580,226944,177140
720575940630947328,R1-6,left,462761,248987,139000
720575940622512384,R1-6,left,454152,328452,152100
720575940622050176,R1-6,right,753524,221374,134500
720575940612445056,R8,right,814684,268444,129960
720575940624393472,R7,left,190938,269328,163620
720575940618220544,R1-6,left,410779.1111111111,299564.8888888889,202262.22222222222
720575940633115264,R1-6,right,831128,377776,86680
720575940631626240,R7,left,331018,267974,137100
720575940623856640,R1-6,left,507654,290146,147280
720575940617548416,R1-6,left,173556,402052,132200
720575940633059456,R1-6,left,211342,361402,130920
720575940611340288,R1-6,right,834844,207604,101920
720575940606095488,R7,right,815511.3333333334,312806,133600
720575940637882240,R7,left,173128,183764,184880
720575940609013760,R8,right,793692,175920,157800
720575940612731776,R1-6,left,88700,404864,158520
720575940623524352,R1-6,left,317244.8,283071.2,164816
720575940624712448,R1-6,left,100424,350352,167800
720575940628401152,R1-6,right,770245.6,357252,133448
720575940624153600,R8,left,384874,197888,167720
720575940621716864,R1-6,right,714574,297124,147880
720575940626946176,R1-6,right,786998,206294,137360
720575940621445760,R1-6,right,728636,259187,171120
720575940640082816,R1-6,right,838952,338012,98860
720575940622879488,R1-6,left,467916,197351,164760
720575940629336320,R1-6,left,219232,181826,154360
720575940661201024,R8,right,795896,311860,140600
720575940619049216,R1-6,left,224788,186200,153000
720575940630729600,R1-6,left,437943,284811,199340
720575940633654528,R1-6,left,106832,325656,175680
720575940640400512,R1-6,right,855352,297272,97560
720575940637504128,R1-6,right,841686,249744,100500
720575940619721728,R1-6,right,517270,285154,122300
720575940615990144,R1-6,left,139224,388704,149240
720575940616614656,R1-6,left,161321.33333333334,306444,153840
720575940628587776,R1-6,right,818444,215224,91120
720575940642224896,R1-6,right,850056,297544,97600
720575940610814848,R1-6,right,670537.3333333334,287896,83746.66666666667
720575940613474816,R7,left,283160,329028,145480
720575940609240064,R1-6,right,880220,296020,145200
720575940610761344,R1-6,left,256024,213871.2,167400
720575940627161472,R8,left,297888,198034.66666666666,126520
720575940631702400,R1-6,left,146028,250432,190520
720575940622749184,R7,left,566274.6666666666,243433.33333333334,164280
720575940629092608,R1-6,left,310180,312866.6666666667,169413.33333333334
