celltype,additional_annotations,level_7_cluster,hemisphere,skid
sensory,visual,0,left_id,2216445
sensory,visual,0,left_id,2216131
sensory,visual,0,left_id,10241716
sensory,visual,0,left_id,2215622
sensory,visual,0,left_id,2215447
sensory,visual,0,left_id,2215247
sensory,visual,0,left_id,2206279
sensory,visual,0,left_id,37365
sensory,visual,0,left_id,2200028
sensory,olfactory,1,left_id,3464773
sensory,olfactory,1,left_id,6791927
sensory,olfactory,1,left_id,3716797
sensory,olfactory,1,left_id,3465659
sensory,olfactory,1,left_id,7527710
sensory,olfactory,1,left_id,7542938
sensory,olfactory,1,left_id,3511996
sensory,olfactory,1,left_id,3410499
LN,no official annotation,1,left_id,8877795
sensory,olfactory,1,left_id,3774568
sensory,olfactory,2,left_id,3410506
sensory,olfactory,2,left_id,2611805
sensory,thermo-warm,2,left_id,2610744
sensory,olfactory,2,left_id,5090549
sensory,olfactory,2,left_id,3158543
sensory,olfactory,2,left_id,3771794
sensory,olfactory,2,left_id,3768025
sensory,thermo-warm,2,left_id,5093516
sensory,olfactory,2,left_id,6340439
sensory,olfactory,2,left_id,40045
sensory,olfactory,2,left_id,3694515
sensory,olfactory,2,left_id,3592997
sensory,olfactory,2,left_id,3547397
sensory,olfactory,2,left_id,3708875
sensory,gustatory-external,3,left_id,15716934
sensory,gustatory-external,3,left_id,15714639
LN,no official annotation,3,left_id,12882387
sensory,gustatory-external,3,left_id,3586984
sensory,gustatory-external,3,left_id,4338596
sensory,gustatory-external,3,left_id,15716701
sensory,gustatory-external,3,left_id,15690093
sensory,gustatory-external,3,left_id,15689373
sensory,gustatory-external,3,left_id,15674262
sensory,gustatory-external,3,left_id,12260696
sensory,gustatory-external,3,left_id,15679577
sensory,gustatory-external,3,left_id,15938337
sensory,gustatory-external,3,left_id,15681740
PN,gustatory-external 2nd_order PN,3,left_id,5327961
sensory,gustatory-external,3,left_id,15677323
sensory,gustatory-pharyngeal,3,left_id,11671564
DN-SEZ,mPN,3,left_id,13380660
PN,gustatory-external 2nd_order PN,3,left_id,11821320
sensory,gustatory-external,3,left_id,11745381
LN,no official annotation,3,left_id,5322337
DN-SEZ,no official annotation,3,left_id,17062823
sensory,gustatory-external,3,left_id,5186461
sensory,gustatory-external,3,left_id,18934019
sensory,gustatory-pharyngeal,3,left_id,3054101
sensory,gustatory-external,4,left_id,15716309
DN-SEZ,no official annotation,4,left_id,17814107
DN-SEZ,no official annotation,4,left_id,3539170
DN-SEZ,no official annotation,4,left_id,17740547
sensory,gustatory-external,4,left_id,12073881
DN-SEZ,no official annotation,4,left_id,13313410
sensory,gustatory-pharyngeal,4,left_id,15995929
sensory,gustatory-pharyngeal,4,left_id,15997645
sensory,gustatory-pharyngeal,4,left_id,15997692
sensory,gustatory-external,4,left_id,15715643
sensory,gustatory-external,4,left_id,15688358
DN-SEZ,no official annotation,4,left_id,4991243
sensory,gustatory-external,4,left_id,15680093
sensory,gustatory-external,4,left_id,5088293
sensory,gustatory-external,4,left_id,11736972
DN-SEZ,no official annotation,4,left_id,17732291
DN-SEZ,no official annotation,4,left_id,17355745
sensory,gustatory-external,4,left_id,15716127
DN-SEZ,no official annotation,4,left_id,17356454
sensory,gustatory-external,4,left_id,5116147
sensory,gustatory-external,4,left_id,15673867
DN-SEZ,no official annotation,4,left_id,12000033
sensory,gustatory-external,5,left_id,3652587
sensory,gustatory-external,5,left_id,15716094
sensory,gustatory-external,5,left_id,15677030
sensory,gustatory-external,5,left_id,15686512
sensory,gustatory-external,5,left_id,15673925
sensory,gustatory-external,5,left_id,5120097
DN-SEZ,no official annotation,5,left_id,3797420
DN-SEZ,no official annotation,5,left_id,18440675
sensory,gustatory-pharyngeal,5,left_id,15590761
DN-SEZ,PL-1,5,left_id,3486867
sensory,thermo-cold,5,left_id,3609202
sensory,thermo-cold,5,left_id,3639968
sensory,gustatory-pharyngeal,5,left_id,1706716
sensory,gustatory-pharyngeal,5,left_id,16288872
sensory,gustatory-pharyngeal,5,left_id,7439909
sensory,gustatory-pharyngeal,5,left_id,7556564
sensory,gustatory-pharyngeal,5,left_id,15998817
sensory,gustatory-pharyngeal,5,left_id,15998782
sensory,gustatory-pharyngeal,5,left_id,15998768
sensory,gustatory-pharyngeal,5,left_id,15998469
DN-SEZ,no official annotation,5,left_id,17351780
sensory,gustatory-pharyngeal,5,left_id,15998307
sensory,gustatory-pharyngeal,5,left_id,15998218
sensory,gustatory-pharyngeal,5,left_id,15998100
DN-SEZ,no official annotation,5,left_id,11229136
sensory,gustatory-pharyngeal,5,left_id,15997983
sensory,gustatory-pharyngeal,5,left_id,15997929
sensory,gustatory-pharyngeal,5,left_id,15997807
sensory,gustatory-external,5,left_id,8055671
sensory,gustatory-pharyngeal,5,left_id,15996518
sensory,gustatory-pharyngeal,5,left_id,15995404
sensory,gustatory-pharyngeal,5,left_id,15998261
DN-SEZ,no official annotation,5,left_id,17359133
sensory,gustatory-pharyngeal,5,left_id,1715990
DN-SEZ,no official annotation,5,left_id,9842383
sensory,gustatory-pharyngeal,5,left_id,15717736
DN-SEZ,no official annotation,5,left_id,13830600
sensory,thermo-cold,5,left_id,3608397
sensory,gustatory-pharyngeal,5,left_id,15717935
DN-SEZ,no official annotation,5,left_id,17728571
DN-SEZ,no official annotation,5,left_id,17423125
DN-SEZ,no official annotation,5,left_id,17728605
sensory,gustatory-external,6,left_id,9808022
sensory,gustatory-pharyngeal,6,left_id,1347886
sensory,gustatory-pharyngeal,6,left_id,15723727
sensory,gustatory-pharyngeal,6,left_id,15996160
sensory,gustatory-external,6,left_id,15717426
sensory,gut,6,left_id,1427012
sensory,gustatory-external,6,left_id,5057916
sensory,gustatory-pharyngeal,6,left_id,15718275
sensory,gustatory-external,6,left_id,15715151
sensory,gustatory-external,7,left_id,15690711
sensory,gustatory-external,7,left_id,15714845
sensory,gustatory-external,7,left_id,15712024
sensory,gustatory-external,7,left_id,15717229
sensory,gustatory-external,7,left_id,15711289
sensory,gustatory-external,7,left_id,15698623
sensory,gustatory-pharyngeal,7,left_id,15996271
sensory,gustatory-pharyngeal,7,left_id,15727304
sensory,gustatory-pharyngeal,7,left_id,15725545
sensory,gustatory-external,7,left_id,15678849
sensory,gustatory-pharyngeal,7,left_id,15725127
sensory,gustatory-pharyngeal,7,left_id,15724636
sensory,gustatory-pharyngeal,7,left_id,15724520
sensory,gustatory-external,7,left_id,15713374
